"NPOT.per.yr","Year","SON","DJF","MAM","JJA","Annual"
1,1949,0,0,1,0,1
1,1950,0,0,0,0,0
1,1951,1,0,0,0,1
1,1952,0,1,0,0,1
1,1953,0,1,0,0,1
1,1954,0,0,0,0,0
1,1955,0,0,0,0,0
1,1956,0,3,0,0,3
1,1957,0,1,1,0,2
1,1958,0,2,1,0,3
1,1959,0,1,0,0,1
1,1960,0,1,0,0,1
1,1961,0,0,0,0,0
1,1962,0,1,0,0,1
1,1963,1,0,1,0,2
1,1964,0,0,0,0,0
1,1965,0,1,0,0,1
1,1966,0,0,0,0,0
1,1967,1,0,0,0,1
1,1968,0,0,0,0,0
1,1969,0,1,0,0,1
1,1970,0,2,0,0,2
1,1971,0,0,0,0,0
1,1972,0,0,0,0,0
1,1973,0,1,0,0,1
1,1974,2,1,1,0,4
1,1975,0,0,1,0,1
1,1976,0,0,0,0,0
1,1977,0,0,0,0,0
1,1978,0,2,1,0,3
1,1979,0,0,0,0,0
1,1980,0,1,0,0,1
1,1981,0,0,0,0,0
1,1982,1,1,1,0,3
1,1983,0,1,3,0,4
1,1984,0,1,0,0,1
1,1985,0,0,0,0,0
1,1986,0,2,0,0,2
1,1987,0,0,0,0,0
1,1988,0,0,0,0,0
1,1989,0,0,1,0,1
1,1990,0,0,1,0,1
1,1991,0,0,0,0,0
1,1992,0,0,0,0,0
1,1993,0,0,2,0,2
1,1994,0,0,0,0,0
1,1995,0,2,1,0,3
1,1996,0,0,0,0,0
1,1997,0,2,0,0,2
1,1998,0,2,1,0,3
1,1999,0,0,0,0,0
1,2000,0,2,0,0,2
1,2001,0,0,0,0,0
1,2002,0,1,0,0,1
1,2003,0,2,1,0,3
1,2004,0,1,0,0,1
1,2005,0,0,0,0,0
1,2006,0,1,1,0,2
1,2007,0,0,0,0,0
1,2008,0,0,0,0,0
1,2009,0,0,1,0,1
1,2010,0,1,0,0,1
1,2011,0,0,0,0,0
1,2012,0,0,1,0,1
1,2013,0,1,0,0,1
1,2014,0,0,0,0,0
1,2015,0,2,0,0,2
1,2016,0,0,1,0,1
1,2017,0,2,0,0,2
1,2018,0,0,0,0,0
1,2019,0,1,1,0,2
1,2020,0,0,0,0,0
1,2021,0,0,0,0,0
1,2022,0,0,0,0,0
2,1949,0,0,1,0,1
2,1950,0,0,0,0,0
2,1951,1,0,0,0,1
2,1952,0,3,0,0,3
2,1953,0,1,0,0,1
2,1954,0,2,2,0,4
2,1955,0,1,0,0,1
2,1956,0,3,0,0,3
2,1957,0,1,1,0,2
2,1958,1,3,2,0,6
2,1959,0,2,0,0,2
2,1960,0,1,1,0,2
2,1961,0,2,0,0,2
2,1962,0,1,0,0,1
2,1963,1,1,1,0,3
2,1964,0,1,0,0,1
2,1965,0,1,1,0,2
2,1966,1,0,1,0,2
2,1967,1,2,1,0,4
2,1968,0,1,0,0,1
2,1969,0,2,0,0,2
2,1970,0,2,0,0,2
2,1971,0,1,1,0,2
2,1972,0,1,0,0,1
2,1973,0,2,0,0,2
2,1974,2,1,2,0,5
2,1975,0,1,1,0,2
2,1976,0,0,0,0,0
2,1977,0,0,0,0,0
2,1978,0,2,1,0,3
2,1979,0,0,1,0,1
2,1980,0,2,0,0,2
2,1981,0,1,0,0,1
