"Water.year","Mu","Count.model","Count.obs","Season"
1949,0.0389688690053835,0,0,"SON"
1950,0.0202525728699313,0,0,"SON"
1951,0.642713797199192,0,1,"SON"
1952,0.190760765109639,0,0,"SON"
1953,0.021712988906229,0,0,"SON"
1954,0.0858939499929019,0,0,"SON"
1955,0.0577892340756275,0,0,"SON"
1956,0.067121970568921,0,0,"SON"
1957,0.0252266342168741,0,0,"SON"
1958,0.165454330273041,0,1,"SON"
1959,0.0180040278974717,0,0,"SON"
1960,0.0224882237351247,0,0,"SON"
1961,0.0812326947278595,0,0,"SON"
1962,0.103531140651361,0,0,"SON"
1963,0.197540008652781,0,1,"SON"
1964,0.159922736362538,0,0,"SON"
1965,0.0781341616477157,0,0,"SON"
1966,0.223318545167497,0,1,"SON"
1967,0.156138377699795,0,1,"SON"
1968,0.0257680309223552,0,0,"SON"
1969,0.0429277119872331,0,0,"SON"
1970,0.0248984836018139,0,0,"SON"
1971,0.387462840223568,0,0,"SON"
1972,0.0388256985739293,0,0,"SON"
1973,0.137999276618221,0,0,"SON"
1974,3.32071024831385,3,2,"SON"
1975,0.0298397933927946,0,0,"SON"
1976,0.040077970872836,0,0,"SON"
1977,0.0168595795479564,0,0,"SON"
1978,0.103068526746501,0,0,"SON"
1979,0.0373229245618121,0,0,"SON"
1980,0.127579067027296,0,0,"SON"
1981,0.023739233698492,0,0,"SON"
1982,1.0735453939853,1,1,"SON"
1983,0.15543537734175,0,0,"SON"
1984,0.323332812195283,0,0,"SON"
1985,0.376568016952178,0,1,"SON"
1986,0.0643837654802861,0,0,"SON"
1987,0.0391945570033248,0,0,"SON"
1988,0.0228032541381499,0,0,"SON"
1989,0.104810031511633,0,0,"SON"
1990,0.0811763030122508,0,0,"SON"
1991,0.0161001756256782,0,0,"SON"
1992,0.0191929942871943,0,0,"SON"
1993,0.0337185128975031,0,0,"SON"
1994,0.020520543301548,0,0,"SON"
1995,0.0325588604470056,0,0,"SON"
1996,0.0123119046962383,0,0,"SON"
1997,0.0880288832579706,0,0,"SON"
1998,0.229671089804747,0,0,"SON"
1999,0.207404354680833,0,1,"SON"
