"Year","Month","Value","Variable"
1948,1,51.116,"pr"
1948,2,71.23,"pr"
1948,3,180.588,"pr"
1948,4,50.109,"pr"
1948,5,31.34,"pr"
1948,6,1.349,"pr"
1948,7,0.091,"pr"
1948,8,18.752,"pr"
1948,9,35.018,"pr"
1948,10,166.807,"pr"
1948,11,125.238,"pr"
1948,12,154.659,"pr"
1949,1,94.37,"pr"
1949,2,112.776,"pr"
1949,3,118.257,"pr"
1949,4,125.944,"pr"
1949,5,82.53,"pr"
1949,6,43.294,"pr"
1949,7,22.171,"pr"
1949,8,1.849,"pr"
1949,9,11.708,"pr"
1949,10,155.729,"pr"
1949,11,310.699,"pr"
1949,12,58.867,"pr"
1950,1,212.721,"pr"
1950,2,133.04,"pr"
1950,3,154.604,"pr"
1950,4,167.815,"pr"
1950,5,65.195,"pr"
1950,6,6.251,"pr"
1950,7,1.618,"pr"
1950,8,22.071,"pr"
1950,9,21.2,"pr"
1950,10,78.99,"pr"
1950,11,114.099,"pr"
1950,12,249.58,"pr"
1951,1,249.426,"pr"
1951,2,313.419,"pr"
1951,3,62.432,"pr"
1951,4,157.072,"pr"
1951,5,94.692,"pr"
1951,6,28.561,"pr"
1951,7,18.492,"pr"
1951,8,33.449,"pr"
1951,9,15.944,"pr"
1951,10,9.292,"pr"
1951,11,152.508,"pr"
1951,12,111.661,"pr"
1952,1,223.509,"pr"
1952,2,153.275,"pr"
1952,3,83.805,"pr"
1952,4,109.464,"pr"
1952,5,67.728,"pr"
1952,6,3.183,"pr"
1952,7,0.282,"pr"
1952,8,10.646,"pr"
1952,9,14.71,"pr"
1952,10,52.689,"pr"
1952,11,165.594,"pr"
1952,12,139.004,"pr"
1953,1,176.582,"pr"
1953,2,66.092,"pr"
1953,3,116.791,"pr"
1953,4,113.237,"pr"
1953,5,36.096,"pr"
1953,6,8.1,"pr"
1953,7,33.742,"pr"
1953,8,19.203,"pr"
1953,9,6.513,"pr"
1953,10,35.627,"pr"
1953,11,255.676,"pr"
1953,12,94.716,"pr"
1954,1,150.973,"pr"
1954,2,275.63,"pr"
1954,3,66.04,"pr"
1954,4,82.241,"pr"
1954,5,42.665,"pr"
1954,6,25.414,"pr"
1954,7,7.358,"pr"
1954,8,33.009,"pr"
1954,9,37.483,"pr"
1954,10,37.381,"pr"
1954,11,52.896,"pr"
1954,12,333.879,"pr"
1955,1,194.306,"pr"
1955,2,66.022,"pr"
1955,3,250.279,"pr"
1955,4,67.951,"pr"
1955,5,67.128,"pr"
1955,6,49.856,"pr"
1955,7,3.551,"pr"
1955,8,26.296,"pr"
1955,9,55.433,"pr"
1955,10,121.473,"pr"
1955,11,101.897,"pr"
1955,12,117.995,"pr"
1956,1,113.675,"pr"
1956,2,136.892,"pr"
1956,3,222.459,"pr"
1956,4,81.59,"pr"
1956,5,1.714,"pr"
1956,6,7.427,"pr"
1956,7,0.699,"pr"
1956,8,1.211,"pr"
1956,9,4.272,"pr"
1956,10,59.968,"pr"
1956,11,159.433,"pr"
1956,12,105.087,"pr"
1957,1,78.96,"pr"
1957,2,182.89,"pr"
1957,3,96.11,"pr"
1957,4,49.625,"pr"
1957,5,105.607,"pr"
1957,6,36.102,"pr"
1957,7,51.553,"pr"
1957,8,4.053,"pr"
1957,9,35.805,"pr"
1957,10,16.276,"pr"
1957,11,186.396,"pr"
1957,12,222.878,"pr"
1958,1,60.3,"pr"
1958,2,111.563,"pr"
1958,3,99.171,"pr"
1958,4,75.606,"pr"
1958,5,35.376,"pr"
1958,6,12.624,"pr"
1958,7,1.364,"pr"
1958,8,2.755,"pr"
1958,9,135.317,"pr"
1958,10,210.934,"pr"
1958,11,194.713,"pr"
1958,12,218.302,"pr"
1959,1,117.027,"pr"
1959,2,253.151,"pr"
1959,3,172.196,"pr"
1959,4,49.109,"pr"
1959,5,49.363,"pr"
1959,6,53.856,"pr"
1959,7,0.877,"pr"
1959,8,1.179,"pr"
1959,9,16.748,"pr"
1959,10,37.743,"pr"
1959,11,55.618,"pr"
1959,12,201.329,"pr"
1960,1,119.773,"pr"
1960,2,153.825,"pr"
1960,3,89.293,"pr"
1960,4,83.11,"pr"
1960,5,57.135,"pr"
1960,6,13.957,"pr"
1960,7,1.194,"pr"
1960,8,25.167,"pr"
1960,9,2.788,"pr"
1960,10,58.596,"pr"
1960,11,194.957,"pr"
1960,12,103.405,"pr"
1961,1,234.915,"pr"
1961,2,333.918,"pr"
1961,3,120.446,"pr"
1961,4,63.672,"pr"
1961,5,47.261,"pr"
1961,6,17.027,"pr"
1961,7,9.475,"pr"
1961,8,0.473,"pr"
1961,9,97.78,"pr"
1961,10,49.361,"pr"
1961,11,147.497,"pr"
1961,12,206.51,"pr"
1962,1,170.618,"pr"
1962,2,106.22,"pr"
1962,3,215.375,"pr"
1962,4,86.982,"pr"
1962,5,70.22,"pr"
1962,6,95.023,"pr"
1962,7,29.639,"pr"
1962,8,1.354,"pr"
1962,9,13.066,"pr"
1962,10,79.204,"pr"
1962,11,184.533,"pr"
1962,12,138.155,"pr"
1963,1,183.293,"pr"
1963,2,58.008,"pr"
1963,3,136.563,"pr"
1963,4,85.255,"pr"
1963,5,78.569,"pr"
1963,6,35.817,"pr"
1963,7,1.887,"pr"
1963,8,0.613,"pr"
1963,9,2.855,"pr"
1963,10,120.681,"pr"
1963,11,177.462,"pr"
1963,12,121.16,"pr"
1964,1,121.129,"pr"
1964,2,137.028,"pr"
1964,3,86.354,"pr"
1964,4,115.431,"pr"
1964,5,53.179,"pr"
1964,6,21.215,"pr"
1964,7,7.761,"pr"
1964,8,25.832,"pr"
1964,9,32.599,"pr"
1964,10,101.969,"pr"
1964,11,211.863,"pr"
1964,12,159.017,"pr"
1965,1,245.511,"pr"
1965,2,31.29,"pr"
1965,3,49.013,"pr"
1965,4,60.86,"pr"
1965,5,37.028,"pr"
1965,6,4.722,"pr"
1965,7,23.587,"pr"
1965,8,9.036,"pr"
1965,9,31.948,"pr"
1965,10,7.395,"pr"
1965,11,142.897,"pr"
1965,12,162.596,"pr"
1966,1,65.983,"pr"
1966,2,42.224,"pr"
1966,3,127.731,"pr"
1966,4,84.493,"pr"
1966,5,15.702,"pr"
1966,6,11.892,"pr"
1966,7,4.902,"pr"
1966,8,13.235,"pr"
1966,9,27.524,"pr"
1966,10,169.946,"pr"
1966,11,200.614,"pr"
1966,12,246.937,"pr"
1967,1,195.35,"pr"
1967,2,242.74,"pr"
1967,3,128.337,"pr"
1967,4,200.989,"pr"
1967,5,49.665,"pr"
1967,6,10.787,"pr"
1967,7,18.21,"pr"
1967,8,2.535,"pr"
1967,9,5.975,"pr"
1967,10,55.636,"pr"
1967,11,107.172,"pr"
1967,12,61.883,"pr"
1968,1,116.207,"pr"
1968,2,250.247,"pr"
1968,3,135.348,"pr"
1968,4,164.958,"pr"
1968,5,46.185,"pr"
1968,6,20.774,"pr"
1968,7,6.759,"pr"
1968,8,0.951,"pr"
1968,9,2.387,"pr"
1968,10,31.054,"pr"
1968,11,42.348,"pr"
1968,12,239.514,"pr"
1969,1,132.623,"pr"
1969,2,204.151,"pr"
1969,3,165.355,"pr"
1969,4,115.226,"pr"
1969,5,90.716,"pr"
1969,6,28.104,"pr"
1969,7,0.862,"pr"
1969,8,0.302,"pr"
1969,9,42.352,"pr"
1969,10,89.907,"pr"
1969,11,86.376,"pr"
1969,12,144.234,"pr"
1970,1,122.322,"pr"
1970,2,131.825,"pr"
1970,3,193.017,"pr"
1970,4,122.76,"pr"
1970,5,97.928,"pr"
1970,6,34.881,"pr"
1970,7,9.714,"pr"
1970,8,1.328,"pr"
1970,9,17.349,"pr"
1970,10,48.483,"pr"
1970,11,46.155,"pr"
1970,12,91.492,"pr"
1971,1,84.7,"pr"
1971,2,22.197,"pr"
1971,3,262.661,"pr"
1971,4,76.218,"pr"
1971,5,93.386,"pr"
1971,6,7.787,"pr"
1971,7,15.778,"pr"
1971,8,14.492,"pr"
1971,9,4.772,"pr"
1971,10,87.255,"pr"
1971,11,484.904,"pr"
1971,12,156.632,"pr"
1972,1,538.448,"pr"
1972,2,92.386,"pr"
1972,3,160.791,"pr"
1972,4,56.974,"pr"
1972,5,60.149,"pr"
1972,6,51.293,"pr"
1972,7,6.411,"pr"
1972,8,1.41,"pr"
1972,9,53.732,"pr"
1972,10,53,"pr"
1972,11,101.091,"pr"
1972,12,173.459,"pr"
1973,1,225.47,"pr"
1973,2,223.822,"pr"
1973,3,197.302,"pr"
1973,4,103.359,"pr"
1973,5,62.288,"pr"
1973,6,5.601,"pr"
1973,7,2.773,"pr"
1973,8,0.941,"pr"
1973,9,28.906,"pr"
1973,10,117.338,"pr"
1973,11,183.145,"pr"
1973,12,244.182,"pr"
1974,1,80.079,"pr"
1974,2,55.499,"pr"
1974,3,157.761,"pr"
1974,4,213.052,"pr"
1974,5,57.002,"pr"
1974,6,33.291,"pr"
1974,7,41.277,"pr"
1974,8,4.548,"pr"
1974,9,30.114,"pr"
1974,10,1.201,"pr"
1974,11,177.484,"pr"
1974,12,156.243,"pr"
1975,1,29.083,"pr"
1975,2,486.3,"pr"
1975,3,97.856,"pr"
1975,4,49.923,"pr"
1975,5,19.039,"pr"
1975,6,39.198,"pr"
1975,7,3.115,"pr"
1975,8,4.43,"pr"
1975,9,19.264,"pr"
1975,10,95.008,"pr"
1975,11,84.365,"pr"
1975,12,121.746,"pr"
1976,1,99.833,"pr"
1976,2,254.547,"pr"
1976,3,148.012,"pr"
1976,4,34.295,"pr"
1976,5,38.631,"pr"
1976,6,17.488,"pr"
1976,7,2.953,"pr"
1976,8,2.58,"pr"
1976,9,16.109,"pr"
1976,10,311.241,"pr"
1976,11,230.908,"pr"
1976,12,287.569,"pr"
1977,1,301.64,"pr"
1977,2,353.203,"pr"
1977,3,138.783,"pr"
1977,4,137.814,"pr"
1977,5,93.772,"pr"
1977,6,37.542,"pr"
1977,7,16.538,"pr"
1977,8,9.337,"pr"
1977,9,22.663,"pr"
1977,10,11.899,"pr"
1977,11,107.632,"pr"
1977,12,321.409,"pr"
1978,1,184.95,"pr"
1978,2,172.678,"pr"
1978,3,165.536,"pr"
1978,4,121.053,"pr"
1978,5,104.151,"pr"
1978,6,54.56,"pr"
1978,7,2.9,"pr"
1978,8,1.612,"pr"
1978,9,22.011,"pr"
1978,10,124.074,"pr"
1978,11,266.31,"pr"
1978,12,126.491,"pr"
1979,1,187.98,"pr"
1979,2,197.98,"pr"
1979,3,137.262,"pr"
1979,4,66.434,"pr"
1979,5,73.62,"pr"
1979,6,28.335,"pr"
1979,7,3.184,"pr"
1979,8,1.211,"pr"
1979,9,11.471,"pr"
1979,10,57.525,"pr"
1979,11,172.993,"pr"
1979,12,60.844,"pr"
1980,1,332.917,"pr"
1980,2,95.403,"pr"
1980,3,75.749,"pr"
1980,4,98.365,"pr"
1980,5,29.335,"pr"
1980,6,15.008,"pr"
1980,7,13.814,"pr"
1980,8,5.44,"pr"
1980,9,19.999,"pr"
1980,10,1.916,"pr"
1980,11,145.978,"pr"
1980,12,237.822,"pr"
1981,1,198.329,"pr"
1981,2,138.607,"pr"
1981,3,155.805,"pr"
1981,4,53.478,"pr"
1981,5,62.989,"pr"
1981,6,67.832,"pr"
1981,7,27.959,"pr"
1981,8,13.229,"pr"
1981,9,39.499,"pr"
1981,10,117.067,"pr"
1981,11,109.341,"pr"
1981,12,43.019,"pr"
1982,1,188.034,"pr"
