"Year","DJF","MAM","JJA","SON","Variable"
1948,NA,122.562,7.772,121.387,"pr"
1949,146.693,156.68,26.065,244.129,"pr"
1950,200.154,219.601,11.883,68.888,"pr"
1951,474.454,161.136,36.662,60.296,"pr"
1952,242.068,97.541,4.854,82.462,"pr"
1953,173.912,99.773,19.313,161.194,"pr"
1954,269.201,41.932,29.901,32.081,"pr"
1955,327.348,224.57,37.216,112.727,"pr"
1956,153.739,173.548,2.018,82.128,"pr"
1957,145.957,106.002,33.401,115.875,"pr"
1958,185.732,65.456,5.723,255.999,"pr"
1959,329.971,125.574,24.686,20.604,"pr"
1960,238.937,73.334,17.123,116.604,"pr"
1961,366.672,83.096,9.714,124.116,"pr"
1962,249.336,193.27,49.367,115.436,"pr"
1963,168.694,125.915,16.65,128.489,"pr"
1964,174.357,98.512,23.314,161.652,"pr"
1965,221.979,21.176,9.032,58.819,"pr"
1966,102.467,86.531,10.859,179.346,"pr"
1967,399.723,214.875,8.416,48.207,"pr"
1968,204.472,190.888,9.353,9.852,"pr"
1969,333.786,188.494,12.513,66.661,"pr"
1970,194.489,234.04,19.505,22.298,"pr"
1971,35.481,242.172,10.87,266.007,"pr"
1972,382.124,123.861,23.548,74.432,"pr"
1973,347.699,186.878,1.559,138.317,"pr"
1974,165.81,248.855,29.078,96.049,"pr"
1975,377.382,44.018,20.86,52.398,"pr"
1976,234.603,88.766,8.599,275.206,"pr"
1977,593.684,201.539,24.473,40.194,"pr"
1978,368.073,217.12,28.579,212.888,"pr"
1979,262.144,115.428,15.006,96.748,"pr"
1980,242.266,65.176,11.387,55.442,"pr"
1981,332.584,116.369,43.955,90.454,"pr"
1982,189.602,84.872,34.901,137.729,"pr"
1983,309.593,184.98,6.016,104.451,"pr"
1984,486.371,269.046,1.493,136.366,"pr"
1985,152.311,37.105,2.844,207.36,"pr"
1986,506.177,296.332,14.819,79.498,"pr"
1987,322.847,142.869,10.638,77.931,"pr"
1988,427.079,123.359,17.077,110.956,"pr"
1989,109.796,132.247,5.371,45.589,"pr"
1990,170.504,76.518,10.026,72.771,"pr"
1991,352.497,278.492,8.433,75.989,"pr"
1992,216.214,99.087,14.877,189.697,"pr"
1993,298.841,125.761,38.17,213.581,"pr"
1994,141.122,148.887,61.861,136.245,"pr"
1995,232.326,180.628,44.39,64.335,"pr"
1996,80.653,171.899,10.146,57.118,"pr"
1997,218.636,46.82,19.341,35.826,"pr"
1998,158.7,68.026,6.795,87.444,"pr"
1999,444.298,74.582,2.813,205.847,"pr"
2000,499.529,381.345,10.169,66.536,"pr"
2001,331.053,212.98,4.696,40.76,"pr"
2002,242.585,87.079,13.292,201.595,"pr"
2003,155.893,282.619,1.387,187.645,"pr"
2004,458.785,119.703,26.173,224.829,"pr"
2005,364.272,141.355,13.455,84.726,"pr"
2006,216.355,75.042,40.513,73.032,"pr"
2007,337.875,78.306,17.668,39.642,"pr"
2008,202.199,108.398,36.079,103.143,"pr"
2009,224.203,27.377,31.017,98.821,"pr"
2010,114.516,106.585,5.964,158.623,"pr"
2011,318.093,44.781,21.187,119.184,"pr"
2012,410.289,141.227,21.991,180.238,"pr"
2013,120.376,100.122,10.327,24.9,"pr"
2014,164.443,105.363,37.705,41.605,"pr"
2015,398.72,228.836,4.867,159.707,"pr"
2016,334.078,197.087,5.791,24.005,"pr"
2017,260.164,138.247,2.726,184.108,"pr"
2018,211.597,225.721,37.01,54.321,"pr"
2019,240.697,87.86,4.094,98.73,"pr"
2020,391.606,150.889,11.525,189.882,"pr"
2021,335.689,58.839,4.783,124.034,"pr"
2022,215.415,131.94,0.367,47.76,"pr"
2023,524.791,49.144,22.5,171.816,"pr"
2024,144.251,123.472,6.399,95.428,"pr"
2025,313.141,57.714,17.603,102.565,"pr"
2026,162.407,91.469,7.068,246.701,"pr"
2027,244.61,7.903,36.872,46.537,"pr"
2028,440.082,117.523,3.495,256.046,"pr"
2029,281.903,101.768,14.124,74.634,"pr"
2030,369.921,51.712,10.134,47.757,"pr"
2031,268.402,111.347,41.544,193.013,"pr"
2032,349.9,194.543,0.64,171.045,"pr"
2033,256.866,216.272,7.768,73.817,"pr"
2034,537.535,185.085,1.094,195.574,"pr"
2035,75.205,108.134,17.701,47.258,"pr"
2036,343.584,125.927,2.932,73.83,"pr"
2037,465.881,288.026,0.898,61.23,"pr"
2038,360.554,136.991,19.878,139.982,"pr"
2039,66.718,88.202,12.334,88.059,"pr"
2040,240.984,217.805,7.094,101.988,"pr"
2041,353.031,282.12,32.908,183.513,"pr"
2042,319.97,56.018,1.899,90.77,"pr"
2043,266.595,48.729,9.984,42.359,"pr"
2044,516.151,293.17,2.6,30.862,"pr"
2045,259.613,139.669,2.978,44.082,"pr"
2046,232.961,107.716,20.481,104.43,"pr"
2047,246.668,64.813,6.854,82.491,"pr"
2048,495.969,35.735,9.01,44.921,"pr"
2049,297.639,112.25,38.677,91.896,"pr"
2050,296.91,279.822,10.931,205.158,"pr"
2051,220.411,96.765,8.643,120.302,"pr"
2052,256.056,92.507,32.232,153.485,"pr"
2053,329.974,269.908,14.053,48.168,"pr"
2054,222.225,16.173,18.812,35.596,"pr"
2055,238.586,106.495,9.429,70.461,"pr"
2056,394.175,110.528,38.159,143.932,"pr"
2057,217.668,113.301,10.955,73.12,"pr"
2058,381.104,219.161,0.942,18.996,"pr"
2059,444.176,35.399,6.837,138.423,"pr"
2060,180.529,236.908,17.253,72.533,"pr"
2061,219.554,114.555,3.562,43.462,"pr"
2062,263.437,167.373,11.689,10.437,"pr"
2063,220.864,107.28,6.82,156.093,"pr"
2064,574.53,349.018,16.32,43.723,"pr"
2065,49.346,69.226,1.702,3.013,"pr"
2066,300.281,125.433,50.893,51.605,"pr"
2067,286.231,108.472,9.193,3.67,"pr"
2068,445.291,70.868,0.188,60.438,"pr"
2069,227.084,57.524,4.086,127.94,"pr"
2070,133.048,133.694,11.692,22.604,"pr"
2071,420.171,57.699,5.09,249.779,"pr"
2072,207.799,145.483,0,126.95,"pr"
2073,100.034,149.447,5.879,139.696,"pr"
2074,205.594,68.18,7.801,71.448,"pr"
2075,433.576,52.401,7.689,212.822,"pr"
2076,226.542,128.657,2.453,213.793,"pr"
2077,332.337,114.86,0.806,69.016,"pr"
2078,360.641,104.804,0.256,48.359,"pr"
2079,309.515,71.592,15.017,12.664,"pr"
2080,384.837,207.89,9.636,199.021,"pr"
2081,240.469,194.848,35.389,193.648,"pr"
2082,258.129,27.623,6.384,119.274,"pr"
2083,397.181,133.543,28.693,158.975,"pr"
2084,317.196,234.612,14.116,35.361,"pr"
2085,330.386,244.794,4.711,87.523,"pr"
2086,262.41,12.752,7.6,206.166,"pr"
2087,754.776,84.898,37.561,62.638,"pr"
2088,174.129,3.639,7.345,95.064,"pr"
2089,101.887,137.605,14.743,172.322,"pr"
2090,337.154,39.102,4.699,237.592,"pr"
2091,255.979,110.475,9.232,41.933,"pr"
2092,97.957,61.181,17.471,81.581,"pr"
2093,534.728,108.297,3.205,130.559,"pr"
2094,297.992,82.921,3.738,207.495,"pr"
2095,325.108,256.403,12.158,53.443,"pr"
2096,175.337,97.903,4.759,208.459,"pr"
2097,254.238,18.458,11.959,92.042,"pr"
2098,470.28,204.767,13.996,159.036,"pr"
2099,456.347,81.515,16.409,93.679,"pr"
2100,456.295,89.564,2.222,96.86,"pr"
1948,NA,9.304,20.333,10.532,"tas"
1949,2.067,8.669,18.157,11.54,"tas"
1950,-0.004,5.997,18.194,13.401,"tas"
1951,4.941,7.787,18.529,11.025,"tas"
