"NPOT.per.yr","Threshold","Model.name","N.subregions"
1,75,"ACCESS-CM2",7
1,75,"ACCESS-ESM1-5",7
1,75,"AWI-CM-1-1-MR",6
1,75,"BCC-CSM2-MR",7
1,75,"CAMS-CSM1-0",7
1,75,"CAS-ESM2-0",7
1,75,"CESM2",5
1,75,"CESM2-WACCM",6
1,75,"CMCC-CM2-SR5",5
1,75,"CMCC-ESM2",4
1,75,"CNRM-CM6-1",7
1,75,"CNRM-CM6-1-HR",7
1,75,"CNRM-ESM2-1",6
1,75,"EC-Earth3",7
1,75,"EC-Earth3-Veg",4
1,75,"EC-Earth3-Veg-LR",7
1,75,"FGOALS-f3-L",7
1,75,"FGOALS-g3",6
1,75,"GFDL-ESM4",7
1,75,"GISS-E2-1-G",7
1,75,"GISS-E2-1-H",6
1,75,"GISS-E2-2-G",6
1,75,"IITM-ESM",7
1,75,"INM-CM4-8",7
1,75,"INM-CM5-0",7
1,75,"IPSL-CM6A-LR",7
1,75,"KACE-1-0-G",7
1,75,"MCM-UA-1-0",4
1,75,"MIROC6",5
1,75,"MPI-ESM1-2-HR",7
1,75,"MPI-ESM1-2-LR",7
1,75,"MRI-ESM2-0",5
1,75,"NorESM2-LM",6
1,75,"NorESM2-MM",6
1,75,"TaiESM1",7
1,75,"UKESM1-0-LL",6
2,75,"ACCESS-CM2",7
2,75,"ACCESS-ESM1-5",7
2,75,"AWI-CM-1-1-MR",6
2,75,"BCC-CSM2-MR",7
2,75,"CAMS-CSM1-0",7
2,75,"CAS-ESM2-0",7
2,75,"CESM2",6
2,75,"CESM2-WACCM",6
2,75,"CMCC-CM2-SR5",6
2,75,"CMCC-ESM2",6
2,75,"CNRM-CM6-1",7
2,75,"CNRM-CM6-1-HR",7
2,75,"CNRM-ESM2-1",7
2,75,"EC-Earth3",7
2,75,"EC-Earth3-Veg",7
2,75,"EC-Earth3-Veg-LR",7
2,75,"FGOALS-f3-L",7
2,75,"FGOALS-g3",7
2,75,"GFDL-ESM4",7
2,75,"GISS-E2-1-G",7
2,75,"GISS-E2-1-H",7
2,75,"GISS-E2-2-G",6
2,75,"IITM-ESM",7
2,75,"INM-CM4-8",7
2,75,"INM-CM5-0",7
2,75,"IPSL-CM6A-LR",7
2,75,"KACE-1-0-G",7
2,75,"MCM-UA-1-0",4
2,75,"MIROC6",6
2,75,"MPI-ESM1-2-HR",7
2,75,"MPI-ESM1-2-LR",7
2,75,"MRI-ESM2-0",6
2,75,"NorESM2-LM",6
2,75,"NorESM2-MM",6
2,75,"TaiESM1",7
2,75,"UKESM1-0-LL",7
3,75,"ACCESS-CM2",7
3,75,"ACCESS-ESM1-5",7
3,75,"AWI-CM-1-1-MR",6
3,75,"BCC-CSM2-MR",7
3,75,"CAMS-CSM1-0",7
3,75,"CAS-ESM2-0",7
3,75,"CESM2",6
3,75,"CESM2-WACCM",6
3,75,"CMCC-CM2-SR5",6
3,75,"CMCC-ESM2",6
3,75,"CNRM-CM6-1",7
3,75,"CNRM-CM6-1-HR",7
3,75,"CNRM-ESM2-1",7
3,75,"EC-Earth3",7
3,75,"EC-Earth3-Veg",7
3,75,"EC-Earth3-Veg-LR",7
3,75,"FGOALS-f3-L",7
3,75,"FGOALS-g3",7
3,75,"GFDL-ESM4",7
3,75,"GISS-E2-1-G",7
3,75,"GISS-E2-1-H",7
3,75,"GISS-E2-2-G",6
3,75,"IITM-ESM",7
3,75,"INM-CM4-8",7
3,75,"INM-CM5-0",7
3,75,"IPSL-CM6A-LR",7
3,75,"KACE-1-0-G",7
3,75,"MCM-UA-1-0",5
3,75,"MIROC6",7
3,75,"MPI-ESM1-2-HR",7
3,75,"MPI-ESM1-2-LR",7
3,75,"MRI-ESM2-0",6
3,75,"NorESM2-LM",6
3,75,"NorESM2-MM",6
3,75,"TaiESM1",7
3,75,"UKESM1-0-LL",7
1,80,"ACCESS-CM2",6
1,80,"ACCESS-ESM1-5",2
1,80,"AWI-CM-1-1-MR",6
1,80,"BCC-CSM2-MR",7
1,80,"CAMS-CSM1-0",7
1,80,"CAS-ESM2-0",7
1,80,"CESM2",4
1,80,"CESM2-WACCM",4
1,80,"CMCC-CM2-SR5",5
1,80,"CMCC-ESM2",4
1,80,"CNRM-CM6-1",6
1,80,"CNRM-CM6-1-HR",6
1,80,"CNRM-ESM2-1",5
1,80,"EC-Earth3",7
1,80,"EC-Earth3-Veg",4
1,80,"EC-Earth3-Veg-LR",6
1,80,"FGOALS-f3-L",7
1,80,"FGOALS-g3",5
1,80,"GFDL-ESM4",6
1,80,"GISS-E2-1-G",6
1,80,"GISS-E2-1-H",6
1,80,"GISS-E2-2-G",6
1,80,"IITM-ESM",4
1,80,"INM-CM4-8",5
1,80,"INM-CM5-0",7
1,80,"IPSL-CM6A-LR",7
1,80,"KACE-1-0-G",7
1,80,"MCM-UA-1-0",3
1,80,"MIROC6",4
1,80,"MPI-ESM1-2-HR",7
1,80,"MPI-ESM1-2-LR",5
1,80,"MRI-ESM2-0",5
1,80,"NorESM2-LM",5
1,80,"NorESM2-MM",6
1,80,"TaiESM1",7
1,80,"UKESM1-0-LL",4
2,80,"ACCESS-CM2",7
2,80,"ACCESS-ESM1-5",7
2,80,"AWI-CM-1-1-MR",6
2,80,"BCC-CSM2-MR",7
2,80,"CAMS-CSM1-0",7
2,80,"CAS-ESM2-0",7
2,80,"CESM2",6
2,80,"CESM2-WACCM",6
2,80,"CMCC-CM2-SR5",5
2,80,"CMCC-ESM2",6
2,80,"CNRM-CM6-1",7
2,80,"CNRM-CM6-1-HR",7
2,80,"CNRM-ESM2-1",6
2,80,"EC-Earth3",7
2,80,"EC-Earth3-Veg",6
2,80,"EC-Earth3-Veg-LR",7
2,80,"FGOALS-f3-L",7
2,80,"FGOALS-g3",6
2,80,"GFDL-ESM4",7
2,80,"GISS-E2-1-G",6
2,80,"GISS-E2-1-H",6
2,80,"GISS-E2-2-G",6
2,80,"IITM-ESM",7
2,80,"INM-CM4-8",7
2,80,"INM-CM5-0",7
2,80,"IPSL-CM6A-LR",7
2,80,"KACE-1-0-G",7
2,80,"MCM-UA-1-0",4
2,80,"MIROC6",6
2,80,"MPI-ESM1-2-HR",7
2,80,"MPI-ESM1-2-LR",7
2,80,"MRI-ESM2-0",6
2,80,"NorESM2-LM",6
2,80,"NorESM2-MM",6
2,80,"TaiESM1",7
2,80,"UKESM1-0-LL",5
3,80,"ACCESS-CM2",7
3,80,"ACCESS-ESM1-5",7
3,80,"AWI-CM-1-1-MR",6
3,80,"BCC-CSM2-MR",7
3,80,"CAMS-CSM1-0",7
3,80,"CAS-ESM2-0",7
3,80,"CESM2",5
3,80,"CESM2-WACCM",6
3,80,"CMCC-CM2-SR5",5
3,80,"CMCC-ESM2",6
3,80,"CNRM-CM6-1",7
3,80,"CNRM-CM6-1-HR",7
3,80,"CNRM-ESM2-1",7
3,80,"EC-Earth3",7
3,80,"EC-Earth3-Veg",7
3,80,"EC-Earth3-Veg-LR",7
3,80,"FGOALS-f3-L",7
3,80,"FGOALS-g3",6
3,80,"GFDL-ESM4",7
3,80,"GISS-E2-1-G",6
3,80,"GISS-E2-1-H",7
3,80,"GISS-E2-2-G",6
3,80,"IITM-ESM",6
3,80,"INM-CM4-8",7
3,80,"INM-CM5-0",7
3,80,"IPSL-CM6A-LR",7
3,80,"KACE-1-0-G",7
3,80,"MCM-UA-1-0",5
3,80,"MIROC6",6
3,80,"MPI-ESM1-2-HR",7
3,80,"MPI-ESM1-2-LR",7
3,80,"MRI-ESM2-0",6
3,80,"NorESM2-LM",6
3,80,"NorESM2-MM",6
3,80,"TaiESM1",7
3,80,"UKESM1-0-LL",6
1,85,"ACCESS-CM2",5
1,85,"ACCESS-ESM1-5",0
1,85,"AWI-CM-1-1-MR",5
1,85,"BCC-CSM2-MR",6
1,85,"CAMS-CSM1-0",6
1,85,"CAS-ESM2-0",6
1,85,"CESM2",2
1,85,"CESM2-WACCM",2
1,85,"CMCC-CM2-SR5",3
1,85,"CMCC-ESM2",2
1,85,"CNRM-CM6-1",4
1,85,"CNRM-CM6-1-HR",5
1,85,"CNRM-ESM2-1",5
1,85,"EC-Earth3",5
1,85,"EC-Earth3-Veg",1
1,85,"EC-Earth3-Veg-LR",6
1,85,"FGOALS-f3-L",5
1,85,"FGOALS-g3",5
1,85,"GFDL-ESM4",5
1,85,"GISS-E2-1-G",4
1,85,"GISS-E2-1-H",4
1,85,"GISS-E2-2-G",6
1,85,"IITM-ESM",3
1,85,"INM-CM4-8",5
1,85,"INM-CM5-0",7
1,85,"IPSL-CM6A-LR",3
1,85,"KACE-1-0-G",4
1,85,"MCM-UA-1-0",1
1,85,"MIROC6",3
1,85,"MPI-ESM1-2-HR",5
1,85,"MPI-ESM1-2-LR",4
1,85,"MRI-ESM2-0",5
1,85,"NorESM2-LM",5
1,85,"NorESM2-MM",6
1,85,"TaiESM1",4
1,85,"UKESM1-0-LL",2
2,85,"ACCESS-CM2",5
2,85,"ACCESS-ESM1-5",3
2,85,"AWI-CM-1-1-MR",6
2,85,"BCC-CSM2-MR",7
2,85,"CAMS-CSM1-0",6
2,85,"CAS-ESM2-0",7
2,85,"CESM2",4
2,85,"CESM2-WACCM",6
2,85,"CMCC-CM2-SR5",5
2,85,"CMCC-ESM2",4
2,85,"CNRM-CM6-1",6
2,85,"CNRM-CM6-1-HR",6
2,85,"CNRM-ESM2-1",6
2,85,"EC-Earth3",6
2,85,"EC-Earth3-Veg",4
2,85,"EC-Earth3-Veg-LR",7
2,85,"FGOALS-f3-L",5
2,85,"FGOALS-g3",6
2,85,"GFDL-ESM4",7
2,85,"GISS-E2-1-G",6
2,85,"GISS-E2-1-H",6
2,85,"GISS-E2-2-G",6
2,85,"IITM-ESM",6
2,85,"INM-CM4-8",5
2,85,"INM-CM5-0",7
2,85,"IPSL-CM6A-LR",4
2,85,"KACE-1-0-G",6
2,85,"MCM-UA-1-0",4
2,85,"MIROC6",4
2,85,"MPI-ESM1-2-HR",7
2,85,"MPI-ESM1-2-LR",4
2,85,"MRI-ESM2-0",5
2,85,"NorESM2-LM",6
2,85,"NorESM2-MM",6
2,85,"TaiESM1",7
2,85,"UKESM1-0-LL",3
3,85,"ACCESS-CM2",7
3,85,"ACCESS-ESM1-5",6
3,85,"AWI-CM-1-1-MR",6
3,85,"BCC-CSM2-MR",7
3,85,"CAMS-CSM1-0",7
