"Subregion","Model","NPOT.per.yr","Match.per","No.Match.per"
"Northwest","ACCESS-CM2",1,97.8,2.2
"Northwest","ACCESS-CM2",2,97.4,2.6
"Northwest","ACCESS-CM2",3,98.7,1.3
"Northwest","ACCESS-ESM1-5",1,78.7,21.3
"Northwest","ACCESS-ESM1-5",2,84.9,15.1
"Northwest","ACCESS-ESM1-5",3,87.6,12.4
"Northwest","AWI-CM-1-1-MR",1,93.1,6.9
"Northwest","AWI-CM-1-1-MR",2,94.2,5.8
"Northwest","AWI-CM-1-1-MR",3,94.2,5.8
"Northwest","BCC-CSM2-MR",1,99.2,0.8
"Northwest","BCC-CSM2-MR",2,98.9,1.1
"Northwest","BCC-CSM2-MR",3,99.2,0.8
"Northwest","CAMS-CSM1-0",1,97.2,2.8
"Northwest","CAMS-CSM1-0",2,97.9,2.1
"Northwest","CAMS-CSM1-0",3,97.4,2.6
"Northwest","CAS-ESM2-0",1,96.7,3.3
"Northwest","CAS-ESM2-0",2,97.1,2.9
"Northwest","CAS-ESM2-0",3,97.9,2.1
"Northwest","CESM2",1,94.5,5.5
"Northwest","CESM2",2,93.4,6.6
"Northwest","CESM2",3,96.3,3.7
"Northwest","CESM2-WACCM",1,82.5,17.5
"Northwest","CESM2-WACCM",2,90.5,9.5
"Northwest","CESM2-WACCM",3,90.5,9.5
"Northwest","CMCC-CM2-SR5",1,92.2,7.8
"Northwest","CMCC-CM2-SR5",2,94.7,5.3
"Northwest","CMCC-CM2-SR5",3,95.5,4.5
"Northwest","CMCC-ESM2",1,94.5,5.5
"Northwest","CMCC-ESM2",2,95.5,4.5
"Northwest","CMCC-ESM2",3,96.8,3.2
"Northwest","CNRM-CM6-1",1,83.7,16.3
"Northwest","CNRM-CM6-1",2,92.9,7.1
"Northwest","CNRM-CM6-1",3,93.1,6.9
"Northwest","CNRM-CM6-1-HR",1,91.1,8.9
"Northwest","CNRM-CM6-1-HR",2,93.7,6.3
"Northwest","CNRM-CM6-1-HR",3,95.5,4.5
"Northwest","CNRM-ESM2-1",1,91.1,8.9
"Northwest","CNRM-ESM2-1",2,96.6,3.4
"Northwest","CNRM-ESM2-1",3,96.8,3.2
"Northwest","EC-Earth3",1,93.4,6.6
"Northwest","EC-Earth3",2,96.8,3.2
"Northwest","EC-Earth3",3,96.6,3.4
"Northwest","EC-Earth3-Veg",1,70.6,29.4
"Northwest","EC-Earth3-Veg",2,81.5,18.5
"Northwest","EC-Earth3-Veg",3,84.4,15.6
"Northwest","EC-Earth3-Veg-LR",1,96.1,3.9
"Northwest","EC-Earth3-Veg-LR",2,94.7,5.3
"Northwest","EC-Earth3-Veg-LR",3,96,4
"Northwest","FGOALS-f3-L",1,91.7,8.3
"Northwest","FGOALS-f3-L",2,93.1,6.9
"Northwest","FGOALS-f3-L",3,96.8,3.2
"Northwest","FGOALS-g3",1,90,10
"Northwest","FGOALS-g3",2,94.2,5.8
"Northwest","FGOALS-g3",3,95.5,4.5
"Northwest","GFDL-ESM4",1,97,3
"Northwest","GFDL-ESM4",2,97.4,2.6
"Northwest","GFDL-ESM4",3,98.7,1.3
"Northwest","GISS-E2-1-G",1,85.6,14.4
"Northwest","GISS-E2-1-G",2,95.5,4.5
"Northwest","GISS-E2-1-G",3,95.5,4.5
"Northwest","GISS-E2-1-H",1,66.8,33.2
"Northwest","GISS-E2-1-H",2,77.8,22.2
"Northwest","GISS-E2-1-H",3,84.7,15.3
"Northwest","GISS-E2-2-G",1,97.2,2.8
"Northwest","GISS-E2-2-G",2,97.4,2.6
"Northwest","GISS-E2-2-G",3,97.1,2.9
"Northwest","IITM-ESM",1,94.2,5.8
"Northwest","IITM-ESM",2,96,4
"Northwest","IITM-ESM",3,95.8,4.2
"Northwest","INM-CM4-8",1,90.9,9.1
"Northwest","INM-CM4-8",2,96.3,3.7
"Northwest","INM-CM4-8",3,96.3,3.7
"Northwest","INM-CM5-0",1,91.1,8.9
"Northwest","INM-CM5-0",2,92.3,7.7
"Northwest","INM-CM5-0",3,95,5
"Northwest","IPSL-CM6A-LR",1,94.7,5.3
"Northwest","IPSL-CM6A-LR",2,96.8,3.2
"Northwest","IPSL-CM6A-LR",3,97.6,2.4
"Northwest","KACE-1-0-G",1,94.2,5.8
"Northwest","KACE-1-0-G",2,97.4,2.6
"Northwest","KACE-1-0-G",3,96,4
"Northwest","MCM-UA-1-0",1,79.5,20.5
"Northwest","MCM-UA-1-0",2,90.2,9.8
"Northwest","MCM-UA-1-0",3,92.6,7.4
"Northwest","MIROC6",1,97,3
"Northwest","MIROC6",2,96.3,3.7
"Northwest","MIROC6",3,98.2,1.8
"Northwest","MPI-ESM1-2-HR",1,94.2,5.8
"Northwest","MPI-ESM1-2-HR",2,96.8,3.2
"Northwest","MPI-ESM1-2-HR",3,98.4,1.6
"Northwest","MPI-ESM1-2-LR",1,83.7,16.3
"Northwest","MPI-ESM1-2-LR",2,93.7,6.3
"Northwest","MPI-ESM1-2-LR",3,96.3,3.7
"Northwest","MRI-ESM2-0",1,85.6,14.4
"Northwest","MRI-ESM2-0",2,89.7,10.3
"Northwest","MRI-ESM2-0",3,91.8,8.2
"Northwest","NorESM2-LM",1,86.4,13.6
"Northwest","NorESM2-LM",2,96.6,3.4
"Northwest","NorESM2-LM",3,94.5,5.5
"Northwest","NorESM2-MM",1,95,5
"Northwest","NorESM2-MM",2,97.6,2.4
"Northwest","NorESM2-MM",3,97.9,2.1
"Northwest","TaiESM1",1,96.7,3.3
"Northwest","TaiESM1",2,96.6,3.4
"Northwest","TaiESM1",3,97.9,2.1
"Northwest","UKESM1-0-LL",1,97,3
"Northwest","UKESM1-0-LL",2,97.1,2.9
"Northwest","UKESM1-0-LL",3,98.2,1.8
"Southwest","ACCESS-CM2",1,85.4,14.6
"Southwest","ACCESS-CM2",2,90.3,9.7
"Southwest","ACCESS-CM2",3,92.6,7.4
"Southwest","ACCESS-ESM1-5",1,75.7,24.3
"Southwest","ACCESS-ESM1-5",2,83,17
"Southwest","ACCESS-ESM1-5",3,86.4,13.6
"Southwest","AWI-CM-1-1-MR",1,84.3,15.7
"Southwest","AWI-CM-1-1-MR",2,88.7,11.3
"Southwest","AWI-CM-1-1-MR",3,90.1,9.9
"Southwest","BCC-CSM2-MR",1,90.4,9.6
"Southwest","BCC-CSM2-MR",2,94.4,5.6
"Southwest","BCC-CSM2-MR",3,95.4,4.6
"Southwest","CAMS-CSM1-0",1,90.5,9.5
"Southwest","CAMS-CSM1-0",2,93.3,6.7
"Southwest","CAMS-CSM1-0",3,93.4,6.6
"Southwest","CAS-ESM2-0",1,86.1,13.9
"Southwest","CAS-ESM2-0",2,90.2,9.8
"Southwest","CAS-ESM2-0",3,91.2,8.8
"Southwest","CESM2",1,74.4,25.6
"Southwest","CESM2",2,83.5,16.5
"Southwest","CESM2",3,84.6,15.4
"Southwest","CESM2-WACCM",1,78,22
"Southwest","CESM2-WACCM",2,86.8,13.2
"Southwest","CESM2-WACCM",3,88.1,11.9
"Southwest","CMCC-CM2-SR5",1,43.7,56.3
"Southwest","CMCC-CM2-SR5",2,48.2,51.8
"Southwest","CMCC-CM2-SR5",3,55,45
"Southwest","CMCC-ESM2",1,82,18
"Southwest","CMCC-ESM2",2,85.4,14.6
"Southwest","CMCC-ESM2",3,88,12
"Southwest","CNRM-CM6-1",1,80.5,19.5
"Southwest","CNRM-CM6-1",2,87.3,12.7
"Southwest","CNRM-CM6-1",3,86.9,13.1
"Southwest","CNRM-CM6-1-HR",1,82.1,17.9
"Southwest","CNRM-CM6-1-HR",2,87.6,12.4
"Southwest","CNRM-CM6-1-HR",3,87.8,12.2
"Southwest","CNRM-ESM2-1",1,89.7,10.3
"Southwest","CNRM-ESM2-1",2,93.9,6.1
"Southwest","CNRM-ESM2-1",3,94.7,5.3
"Southwest","EC-Earth3",1,89.6,10.4
"Southwest","EC-Earth3",2,93.3,6.7
"Southwest","EC-Earth3",3,92.8,7.2
"Southwest","EC-Earth3-Veg",1,72.2,27.8
"Southwest","EC-Earth3-Veg",2,76.3,23.7
"Southwest","EC-Earth3-Veg",3,82.8,17.2
"Southwest","EC-Earth3-Veg-LR",1,78.4,21.6
"Southwest","EC-Earth3-Veg-LR",2,85,15
"Southwest","EC-Earth3-Veg-LR",3,88.2,11.8
"Southwest","FGOALS-f3-L",1,89.7,10.3
"Southwest","FGOALS-f3-L",2,93.6,6.4
"Southwest","FGOALS-f3-L",3,92.7,7.3
"Southwest","FGOALS-g3",1,65.6,34.4
"Southwest","FGOALS-g3",2,77.2,22.8
"Southwest","FGOALS-g3",3,78.8,21.2
"Southwest","GFDL-ESM4",1,81.6,18.4
"Southwest","GFDL-ESM4",2,86.1,13.9
"Southwest","GFDL-ESM4",3,89.7,10.3
"Southwest","GISS-E2-1-G",1,84.9,15.1
"Southwest","GISS-E2-1-G",2,89.6,10.4
"Southwest","GISS-E2-1-G",3,92.3,7.7
"Southwest","GISS-E2-1-H",1,80.8,19.2
"Southwest","GISS-E2-1-H",2,86.9,13.1
"Southwest","GISS-E2-1-H",3,90.3,9.7
"Southwest","GISS-E2-2-G",1,88.8,11.2
"Southwest","GISS-E2-2-G",2,93.1,6.9
"Southwest","GISS-E2-2-G",3,94.3,5.7
"Southwest","IITM-ESM",1,83.9,16.1
"Southwest","IITM-ESM",2,89.1,10.9
"Southwest","IITM-ESM",3,90.9,9.1
"Southwest","INM-CM4-8",1,76.5,23.5
"Southwest","INM-CM4-8",2,84.9,15.1
