"Year.st","Year.en","Subregion","N.total","N.Inc","N.No","N.Dec","Shift","Ratio.Sites","Ratio.Sites.LL","Ratio.Sites.UL"
1949,1978,"CONUS",4616,662,3375,579,"Increasing",14.3414211438475,13.0849220103986,15.6311711983649
1949,1978,"CONUS",4616,662,3375,579,"Decreasing",12.5433275563258,11.2868284228769,13.8330776108433
1949,1978,"CONUS",4616,662,3375,579,"No",73.1152512998267,71.8587521663778,74.4050013543441
1949,1978,"Northeast",733,54,580,99,"Increasing",7.36698499317872,4.63847203274215,10.3203652242136
1949,1978,"Northeast",733,54,580,99,"Decreasing",13.506139154161,10.7776261937244,16.4595193851958
1949,1978,"Northeast",733,54,580,99,"No",79.1268758526603,76.3983628922237,82.0802560836952
1949,1978,"Southeast",860,31,653,176,"Increasing",3.6046511627907,0.813953488372093,6.48566520176268
1949,1978,"Southeast",860,31,653,176,"Decreasing",20.4651162790698,17.6744186046512,23.3461303180417
1949,1978,"Southeast",860,31,653,176,"No",75.9302325581395,73.1395348837209,78.8112465971115
1949,1978,"Midwest",777,20,578,179,"Increasing",2.57400257400257,0,5.74987364030665
1949,1978,"Midwest",777,20,578,179,"Decreasing",23.037323037323,20.0772200772201,26.2131941036271
1949,1978,"Midwest",777,20,578,179,"No",74.3886743886744,71.4285714285714,77.5645454549785
1949,1978,"GreatPlainsNorth",381,90,263,28,"Increasing",23.6220472440945,19.1601049868766,28.4174360548207
1949,1978,"GreatPlainsNorth",381,90,263,28,"Decreasing",7.3490813648294,2.88713910761155,12.1444701755556
1949,1978,"GreatPlainsNorth",381,90,263,28,"No",69.0288713910761,64.5669291338583,73.8242602018023
1949,1978,"Southwest",991,290,637,64,"Increasing",29.263370332997,26.2361251261352,32.3468719003396
1949,1978,"Southwest",991,290,637,64,"Decreasing",6.45812310797175,3.43087790110999,9.54162467531433
1949,1978,"Southwest",991,290,637,64,"No",64.2785065590313,61.2512613521695,67.3620081263739
1949,1978,"GreatPlainsSouth",468,89,357,22,"Increasing",19.017094017094,15.3846153846154,22.9395141691541
1949,1978,"GreatPlainsSouth",468,89,357,22,"Decreasing",4.7008547008547,1.06837606837607,8.62327485291481
1949,1978,"GreatPlainsSouth",468,89,357,22,"No",76.2820512820513,72.6495726495726,80.2044714341114
1949,1978,"Northwest",406,88,307,11,"Increasing",21.6748768472906,17.7339901477833,25.981475350223
1949,1978,"Northwest",406,88,307,11,"Decreasing",2.70935960591133,0,7.01595810884367
1949,1978,"Northwest",406,88,307,11,"No",75.615763546798,71.6748768472906,79.9223620497304
1950,1979,"CONUS",4616,662,3373,581,"Increasing",14.3414211438475,13.0849220103986,15.6327763138224
1950,1979,"CONUS",4616,662,3373,581,"Decreasing",12.5866551126516,11.3301559792028,13.8780102826266
1950,1979,"CONUS",4616,662,3373,581,"No",73.0719237435009,71.815424610052,74.3632789134758
1950,1979,"Northeast",733,56,590,87,"Increasing",7.63983628922237,4.91132332878581,10.4162074099388
1950,1979,"Northeast",733,56,590,87,"Decreasing",11.869031377899,9.14051841746248,14.6454024986154
