"NPOT.per.yr","Site.name","Season","corr_spearman","Memo"
1,"01010000","SON",0.393611,"OK"
1,"01010000","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01010000","MAM",0.436719,"OK"
1,"01010000","JJA",-0.032407,"OK"
1,"01010000","Annual",0.25247,"OK"
2,"01010000","SON",0.47858,"OK"
2,"01010000","DJF",NA,"nyr.Nevents.over.zero<5"
2,"01010000","MAM",NA,"all.modeled.values.are.the.same"
2,"01010000","JJA",0.298865,"OK"
2,"01010000","Annual",0.233626,"OK"
3,"01010000","SON",0.594935,"OK"
3,"01010000","DJF",0.209165,"OK"
3,"01010000","MAM",0.428058,"OK"
3,"01010000","JJA",0.430533,"OK"
3,"01010000","Annual",0.599851,"OK"
1,"01010070","SON",NA,"all.modeled.values.are.the.same"
1,"01010070","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01010070","MAM",NA,"all.modeled.values.are.the.same"
1,"01010070","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01010070","Annual",NA,"all.modeled.values.are.the.same"
2,"01010070","SON",0.360555,"OK"
2,"01010070","DJF",NA,"nyr.Nevents.over.zero<5"
2,"01010070","MAM",NA,"all.modeled.values.are.the.same"
2,"01010070","JJA",NA,"all.modeled.values.are.the.same"
2,"01010070","Annual",0.284802,"OK"
3,"01010070","SON",0.334619,"OK"
3,"01010070","DJF",NA,"nyr.Nevents.over.zero<5"
3,"01010070","MAM",NA,"all.modeled.values.are.the.same"
3,"01010070","JJA",0.397952,"OK"
3,"01010070","Annual",0.292016,"OK"
1,"01010500","SON",0.434789,"OK"
1,"01010500","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01010500","MAM",0.327118,"OK"
1,"01010500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01010500","Annual",0.32426,"OK"
2,"01010500","SON",0.318736,"OK"
2,"01010500","DJF",0.434789,"OK"
2,"01010500","MAM",NA,"all.modeled.values.are.the.same"
2,"01010500","JJA",0.227069,"OK"
2,"01010500","Annual",0.258187,"OK"
3,"01010500","SON",0.552641,"OK"
3,"01010500","DJF",0.543363,"OK"
3,"01010500","MAM",NA,"all.modeled.values.are.the.same"
3,"01010500","JJA",0.473654,"OK"
3,"01010500","Annual",0.523656,"OK"
1,"01011000","SON",NA,"nyr.Nevents.over.zero<5"
1,"01011000","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01011000","MAM",0.523608,"OK"
1,"01011000","JJA",0.287137,"OK"
1,"01011000","Annual",0.481961,"OK"
2,"01011000","SON",0.513291,"OK"
2,"01011000","DJF",NA,"nyr.Nevents.over.zero<5"
2,"01011000","MAM",NA,"all.modeled.values.are.the.same"
2,"01011000","JJA",0.373599,"OK"
2,"01011000","Annual",0.299889,"OK"
3,"01011000","SON",0.678564,"OK"
3,"01011000","DJF",0.372282,"OK"
3,"01011000","MAM",NA,"all.modeled.values.are.the.same"
3,"01011000","JJA",0.411239,"OK"
3,"01011000","Annual",0.53917,"OK"
1,"01013500","SON",NA,"nyr.Nevents.over.zero<5"
1,"01013500","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01013500","MAM",NA,"all.modeled.values.are.the.same"
1,"01013500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01013500","Annual",NA,"all.modeled.values.are.the.same"
2,"01013500","SON",0.601334,"OK"
2,"01013500","DJF",0.392111,"OK"
2,"01013500","MAM",NA,"all.modeled.values.are.the.same"
2,"01013500","JJA",0.507602,"OK"
2,"01013500","Annual",0.629178,"OK"
3,"01013500","SON",0.647798,"OK"
3,"01013500","DJF",0.274214,"OK"
