"NPOT.per.yr","Site.name","Season","corr_spearman","Memo"
1,"01010000","SON",0.393611,"OK"
1,"01010000","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01010000","MAM",0.354247,"OK"
1,"01010000","JJA",-0.046152,"OK"
1,"01010000","Annual",0.211761,"OK"
2,"01010000","SON",0.326199,"OK"
2,"01010000","DJF",NA,"nyr.Nevents.over.zero<5"
2,"01010000","MAM",NA,"all.modeled.values.are.the.same"
2,"01010000","JJA",0.296081,"OK"
2,"01010000","Annual",0.233616,"OK"
3,"01010000","SON",0.594935,"OK"
3,"01010000","DJF",0.20541,"OK"
3,"01010000","MAM",0.351385,"OK"
3,"01010000","JJA",0.422256,"OK"
3,"01010000","Annual",0.539043,"OK"
1,"01010070","SON",NA,"all.modeled.values.are.the.same"
1,"01010070","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01010070","MAM",NA,"all.modeled.values.are.the.same"
1,"01010070","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01010070","Annual",NA,"all.modeled.values.are.the.same"
2,"01010070","SON",NA,"all.modeled.values.are.the.same"
2,"01010070","DJF",NA,"nyr.Nevents.over.zero<5"
2,"01010070","MAM",NA,"all.modeled.values.are.the.same"
2,"01010070","JJA",NA,"all.modeled.values.are.the.same"
2,"01010070","Annual",NA,"all.modeled.values.are.the.same"
3,"01010070","SON",0.334619,"OK"
3,"01010070","DJF",NA,"nyr.Nevents.over.zero<5"
3,"01010070","MAM",NA,"all.modeled.values.are.the.same"
3,"01010070","JJA",0.397952,"OK"
3,"01010070","Annual",0.195365,"OK"
1,"01010500","SON",0.434789,"OK"
1,"01010500","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01010500","MAM",0.272668,"OK"
1,"01010500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01010500","Annual",0.270137,"OK"
2,"01010500","SON",0.318736,"OK"
2,"01010500","DJF",0.434789,"OK"
2,"01010500","MAM",NA,"all.modeled.values.are.the.same"
2,"01010500","JJA",0.226274,"OK"
2,"01010500","Annual",0.186983,"OK"
3,"01010500","SON",0.546554,"OK"
3,"01010500","DJF",0.543363,"OK"
3,"01010500","MAM",NA,"all.modeled.values.are.the.same"
3,"01010500","JJA",0.472436,"OK"
3,"01010500","Annual",0.486137,"OK"
1,"01011000","SON",NA,"nyr.Nevents.over.zero<5"
1,"01011000","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01011000","MAM",0.410621,"OK"
1,"01011000","JJA",0.282624,"OK"
1,"01011000","Annual",0.355825,"OK"
2,"01011000","SON",0.513291,"OK"
2,"01011000","DJF",NA,"nyr.Nevents.over.zero<5"
2,"01011000","MAM",NA,"all.modeled.values.are.the.same"
2,"01011000","JJA",0.25865,"OK"
2,"01011000","Annual",0.276192,"OK"
3,"01011000","SON",0.643295,"OK"
3,"01011000","DJF",0.261434,"OK"
3,"01011000","MAM",NA,"all.modeled.values.are.the.same"
3,"01011000","JJA",0.410473,"OK"
3,"01011000","Annual",0.514587,"OK"
1,"01013500","SON",NA,"nyr.Nevents.over.zero<5"
1,"01013500","DJF",NA,"nyr.Nevents.over.zero<5"
1,"01013500","MAM",NA,"all.modeled.values.are.the.same"
1,"01013500","JJA",NA,"nyr.Nevents.over.zero<5"
1,"01013500","Annual",NA,"all.modeled.values.are.the.same"
2,"01013500","SON",0.575596,"OK"
2,"01013500","DJF",0.275358,"OK"
2,"01013500","MAM",NA,"all.modeled.values.are.the.same"
2,"01013500","JJA",0.507602,"OK"
2,"01013500","Annual",0.473607,"OK"
3,"01013500","SON",0.582194,"OK"
