"","Site_ID","Mu_intercept","Mu_prec.conc","Mu_temp.conc","Mu_prec.lag","Mu_temp.lag","Sig_intercept","Sig_prec.conc","Sig_temp.conc","Sig_prec.lag","Sig_temp.lag"
"1","01010000",0.358062869213581,-99,-99,-99,-99,-99,-99,-99,-99,-99
"2","01010070",0.379489621704904,-99,-99,-99,-99,-99,-99,-99,-99,-99
"3","01010500",0.378066133920052,-99,-99,-99,-99,-99,-99,-99,-99,-99
"4","01011000",0.368763741257737,-99,-99,-99,-99,-99,-99,-99,-99,-99
"5","01013500",0.126751705639144,-99,-99,-99,-99,-99,-99,-99,-99,-99
"6","01014000",-0.456224521889477,0.0109171752735034,-99,-99,-99,-99,-99,-99,-99,-99
"7","01015800",-0.614980603804892,0.0117402065350428,-99,-99,-99,-99,-99,-99,-99,-99
"8","01017000",-0.446385698600019,0.010244178119246,-99,-99,-99,-99,-99,-99,-99,-99
"9","01018500",-3.62599615583843,0.0165660783854751,-99,0.022447495030766,-99,-99,-99,-99,-99,-99
"10","01019000",-4.01124250348019,0.0139988992837712,-99,0.0238555025305259,-99,-99,-99,-99,-99,-99
"11","01021000",-1.28348165292115,0.0151198617164818,-99,-99,-99,-99,-99,-99,-99,-99
"12","01022500",-1.70486799164685,0.0165855778751161,-99,-99,-99,-99,-99,-99,-99,-99
"13","01030500",-0.522199885033674,0.0089213781717906,-99,-99,-99,-99,-99,-99,-99,-99
"14","01031500",-1.1534178520686,0.01235794049667,-99,-99,-99,-99,-99,-99,-99,-99
"15","01034000",-1.20668627025647,0.0135095192189401,-99,-99,-99,-99,-99,-99,-99,-99
"16","01034500",-1.15833149118773,0.0149616854533189,-99,-99,-99,-99,-99,-99,-99,-99
"17","01038000",-2.22565017188829,0.0133314021634391,-99,-99,-0.167590146475306,-99,-99,-99,-99,-99
"18","01042500",-2.91355011170836,0.0195510203492871,-99,0.0166788762930169,-99,-99,-99,-99,-99,-99
"19","01046500",-2.58610080646776,0.0181404129890527,-99,0.0146112594291698,-99,-99,-99,-99,-99,-99
"20","01047000",-1.58540825060823,0.0153894350830747,-99,-99,-99,-99,-99,-99,-99,-99
"21","01048000",-1.46957389611619,0.0145525918044329,-99,-99,-99,-99,-99,-99,-99,-99
"22","01049000",-0.885979281895345,0.0113416066682003,-99,-99,-99,-99,-99,-99,-99,-99
"23","01049265",-1.64850243629364,0.0175847803949502,-99,-99,-99,-99,-99,-99,-99,-99
"24","01049500",-1.14620904125915,0.0135912037234377,-99,-99,-99,-99,-99,-99,-99,-99
"25","01052500",-0.719384462698565,0.011375763422276,-99,-99,-99,-99,-99,-99,-99,-99
"26","01053500",-3.25278513235588,0.0182591401856743,-99,0.021195963884302,-99,-99,-99,-99,-99,-99
