"Events.per.year","Scenario","GagesII","Site.name","Season","Ratio.N","Lon","Lat","GagesII.NHD","Area.sqkm","Area.sqmi","Area.source","State","Subregion"
2,"historical","All sites","01010000","SON",0,-69.7155556,46.70055556,NA,3507.43069729237,1354.22600708598,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01010070","SON",0,-69.7516667,46.89388889,NA,503.997392846822,194.594401372944,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01010500","SON",0,-69.0880556,47.11305556,NA,7019.99276641024,2710.43324709652,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01011000","SON",0,-69.0794444,47.0697222,"Non-ref",3189.94755176373,1231.64512963108,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01013500","SON",0,-68.58277778,47.2375,"Ref",2252.55132047385,869.714569937594,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01014000","SON",0,-68.58527778,47.2833333,NA,14776.9475716673,5705.40901131588,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01015800","SON",0,-68.3716667,46.52305556,"Non-ref",2312.13832865395,892.721232969948,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01017000","SON",0,-68.1572222,46.7772222,"Non-ref",4274.86124322819,1650.53247573289,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01018500","SON",0,-67.4283333,45.5683333,NA,1073.75532793886,414.579079627848,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01019000","SON",0,-67.76888889,45.1725,"Non-ref",579.473089508294,223.735718805331,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01021000","SON",0,-67.3180556,45.1369444,NA,3542.52151626378,1367.77464247248,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01022500","SON",0,-67.93527778,44.60805556,"Ref",838.729259728083,323.835044639532,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01030500","SON",0,-68.3058333,45.5011111,"Ref",3665.08343942269,1415.09604612798,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01031500","SON",0,-69.3147222,45.175,"Ref",772.440180487444,298.240698566563,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01034000","SON",0,-68.8686111,45.26055556,"Non-ref",3008.01546141452,1161.40078568307,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01034500","SON",0,-68.65138889,45.2361111,"Non-ref",17234.6470015858,6654.3316766063,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01038000","SON",0,-69.59388889,44.22277778,"Non-ref",375.212814222894,144.870417997088,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01042500","SON",0,-69.9619444,45.3397222,"Non-ref",4114.23485059206,1588.5143042833,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01046500","SON",0,-69.8855556,45.0519444,"Non-ref",7063.40675159414,2727.195473604,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01047000","SON",0,-69.955,44.86916667,"Ref",902.99455443209,348.648003455339,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01048000","SON",0,-69.9375,44.70805556,"Non-ref",1335.1875721928,515.518591998786,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01049000","SON",0,-69.41388889,44.71666667,"Non-ref",1495.94847747283,577.588699049213,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01049265","SON",0,-69.68388889,44.4722222,"Non-ref",13989.3912167043,5401.33192755196,"BasinShapeFile","maine","Northeast"
2,"historical","All sites","01049500","SON",0,-69.7780556,44.22916667,"Non-ref",560.075528397418,216.2462816653,"BasinShapeFile","maine","Northeast"
