"Season","Site.name","Diff.ratio.mu.mid","Diff.ratio.mu.end","Diff.ratio.N.mid","Diff.ratio.N.end","Diff.count.per.year.mid","Diff.count.per.year.end"
"SON","01010000",0.0113619049414036,0.0130852219089131,0,0,0,0
"DJF","01010000",0,0,0,0,0,0
"MAM","01010000",-0.0288714227755469,-0.0468797297805894,0,0,0,0
"JJA","01010000",0.0175095178341432,0.0337945078716763,0,0,0,0
"Annual","01010000",NA,NA,NA,NA,0,0
"SON","01010070",0.0096981643076083,0.0123942050644044,0,0,0,0
"DJF","01010070",0,0,0,0,0,0
"MAM","01010070",-0.0085045440851319,-0.0108687644410911,0,0,0,0
"JJA","01010070",-0.0011936202224765,-0.00152544062331339,0,0,0,0
"Annual","01010070",NA,NA,NA,NA,0,0
"SON","01010500",0.00953751105000997,0.0100299565883257,0,0,0,0
"DJF","01010500",0.0154954228320703,0.0163820340337971,0,0,0,0
"MAM","01010500",-0.0443906728829284,-0.060902815569404,0,0,0,0
"JJA","01010500",0.0193577390008481,0.0344908249472812,0,0,0,0
"Annual","01010500",NA,NA,NA,NA,0,0
"SON","01011000",0.00757281730599763,0.013269208250444,0,0,0,0
"DJF","01011000",0,0,0,0,0,0
"MAM","01011000",-0.0335696678482852,-0.0542202377265746,0,0,0,0
"JJA","01011000",0.0259968505422876,0.0409510294761306,0,0,0,0
"Annual","01011000",NA,NA,NA,NA,0,0
"SON","01013500",0.00668479413543868,0.00729867180657406,0,0,0,0
"DJF","01013500",0.149896224210304,0.164899144431517,0.117647058823529,0.142857142857143,0.133333333333333,0.166666666666667
"MAM","01013500",-0.155528395074946,-0.174944466241657,-0.117647058823529,-0.142857142857143,0,0
"JJA","01013500",-0.00105262327079664,0.00274665000356569,0,0,0,0
"Annual","01013500",NA,NA,NA,NA,0.266666666666667,0.5
"SON","01014000",-0.00537664470707123,-0.00646759639500787,0,0,0,0
"DJF","01014000",0.131605218695144,0.16155975931021,0.0588235294117647,0.108108108108108,0.0666666666666667,0.133333333333333
"MAM","01014000",-0.0890405654986972,-0.118611202229594,-0.0588235294117647,-0.108108108108108,0.0666666666666667,0.1
"JJA","01014000",-0.037188008489376,-0.0364809606856082,0,0,0,0
"Annual","01014000",NA,NA,NA,NA,0.3,0.366666666666667
"SON","01015800",0.0114736809334612,0.013574365978456,0,0,0,0
"DJF","01015800",0,0,0,0,0,0
"MAM","01015800",0.00087607316011018,-0.00136996878267381,0,0,0.0333333333333334,0
"JJA","01015800",-0.0123497540935712,-0.0122043971957823,0,0,0,0
"Annual","01015800",NA,NA,NA,NA,0.266666666666667,0.3
"SON","01017000",0.00518931412924019,0.00786770516581575,0,0,0,0
"DJF","01017000",0.0212313589996292,0.0143180751789489,0,0,0,0
"MAM","01017000",-0.0351864353855493,-0.04068277793153,0,0,0.0333333333333334,0
"JJA","01017000",0.00876576225667991,0.0184969975867652,0,0,0,0
