"NPOT.per.yr","Site.name","SON","DJF","MAM","JJA"
1,"01010000","OK","nyr.Nevents.over.zero<5","OK","OK"
1,"01010070","OK","nyr.Nevents.over.zero<5","OK","nyr.Nevents.over.zero<5"
1,"01010500","OK","nyr.Nevents.over.zero<5","OK","nyr.Nevents.over.zero<5"
1,"01011000","nyr.Nevents.over.zero<5","nyr.Nevents.over.zero<5","OK","OK"
1,"01013500","nyr.Nevents.over.zero<5","nyr.Nevents.over.zero<5","OK","nyr.Nevents.over.zero<5"
1,"01014000","nyr.Nevents.over.zero<5","nyr.Nevents.over.zero<5","OK","nyr.Nevents.over.zero<5"
1,"01015800","OK","nyr.Nevents.over.zero<5","OK","nyr.Nevents.over.zero<5"
1,"01017000","OK","nyr.Nevents.over.zero<5","OK","nyr.Nevents.over.zero<5"
1,"01018500","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01019000","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01021000","OK","OK","OK","OK"
1,"01022500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01030500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01031500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01034000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01034500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01038000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01042500","OK","OK","OK","OK"
1,"01046500","OK","OK","OK","OK"
1,"01047000","OK","OK","OK","OK"
1,"01048000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01049000","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01049265","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01049500","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01052500","OK","nyr.Nevents.over.zero<5","OK","nyr.Nevents.over.zero<5"
1,"01053500","nyr.Nevents.over.zero<5","nyr.Nevents.over.zero<5","OK","OK"
1,"01054000","OK","nyr.Nevents.over.zero<5","OK","OK"
1,"01054200","OK","OK","OK","OK"
1,"01054500","OK","OK","OK","OK"
1,"01055000","OK","OK","OK","OK"
1,"01055500","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01057000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01059000","OK","OK","OK","OK"
1,"01064500","OK","OK","OK","OK"
1,"01066000","OK","OK","OK","OK"
1,"01073000","OK","OK","OK","nyr.Nevents.over.zero<5"
1,"01073500","OK","OK","OK","OK"
1,"01076500","OK","OK","OK","OK"
1,"01078000","OK","OK","OK","OK"
1,"01081000","nyr.Nevents.over.zero<5","OK","OK","OK"
1,"01089100","nyr.Nevents.over.zero<5","OK","OK","nyr.Nevents.over.zero<5"
1,"01092000","OK","OK","OK","OK"
